ID,City Name,Country,Date,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud
4035249,Lufilufi,WS,1591216878,-13.87,-171.6,28.0,83,10.23,75
6201424,Mataura,NZ,1591216878,-46.19,168.86,6.72,92,3.35,100
2122090,Pevek,RU,1591216878,69.7,170.31,4.22,76,1.54,68
5905393,Bonavista,CA,1591216879,48.65,-53.11,11.67,64,4.47,32
286245,Sur,OM,1591216879,22.57,59.53,33.82,39,2.31,0
3833367,Ushuaia,AR,1591216649,-54.8,-68.3,7.0,75,7.7,75
3466165,Cidreira,BR,1591216880,-30.18,-50.21,16.61,78,4.26,27
2121025,Srednekolymsk,RU,1591216880,67.45,153.68,11.0,51,2.75,0
3418910,Upernavik,GL,1591216880,72.79,-56.15,-0.57,92,2.99,0
3369157,Cape Town,ZA,1591216677,-33.93,18.42,16.0,77,6.2,84
2075265,Busselton,AU,1591216881,-33.65,115.33,8.89,77,2.69,0
5106841,Albany,US,1591216881,42.6,-73.97,25.56,55,5.77,74
5563839,Fortuna,US,1591216775,40.6,-124.16,18.33,77,6.7,1
3382160,Cayenne,GF,1591216882,4.93,-52.33,28.0,83,4.6,40
2015306,Tiksi,RU,1591216882,71.69,128.87,0.82,90,1.27,37
1495797,Ovsyanka,RU,1591216883,55.96,92.55,7.0,81,2.0,56
3984997,San Quintín,MX,1591216883,30.48,-115.95,24.27,53,4.19,0
5122534,Jamestown,US,1591216745,42.1,-79.24,24.44,69,7.7,40
2243271,Cabinda,AO,1591216883,-5.55,12.2,25.07,88,2.44,51
1254043,Turaiyūr,IN,1591216884,11.17,78.62,29.0,74,2.6,20
3874787,Punta Arenas,CL,1591216791,-53.15,-70.92,8.0,65,9.8,90
2110227,Butaritari,KI,1591216884,3.07,172.79,27.9,77,3.01,84
3516148,Tecolutla,MX,1591216884,20.48,-97.02,26.0,83,4.1,90
1649150,Bengkulu,ID,1591216885,-3.8,102.27,24.57,87,2.43,100
4470244,Havelock,US,1591216885,34.88,-76.9,27.22,73,0.89,0
2163355,Hobart,AU,1591216852,-42.88,147.33,6.67,70,4.1,20
1006984,East London,ZA,1591216886,-33.02,27.91,18.55,78,3.08,100
1722803,Buluang,PH,1591216886,13.31,123.34,25.53,84,1.61,81
4946620,Palmer,US,1591216887,42.16,-72.33,25.0,57,3.1,75
934322,Mahébourg,MU,1591216887,-20.41,57.7,22.0,78,6.2,75
4031574,Provideniya,RU,1591216887,64.38,-173.3,5.0,75,4.0,0
2142316,Yeppoon,AU,1591216888,-23.13,150.73,8.0,75,6.03,7
4032243,Vaini,TO,1591216888,-21.2,-175.2,25.0,83,4.1,40
2206939,Bluff,NZ,1591216888,-46.6,168.33,8.56,79,10.24,100
5848280,Kapaa,US,1591216784,22.08,-159.32,27.22,78,5.1,20
3430863,Mar del Plata,AR,1591216754,-38.0,-57.56,11.0,71,5.1,75
1651591,Amahai,ID,1591216889,-3.33,128.92,24.82,82,1.82,73
4031637,Lavrentiya,RU,1591216889,65.58,-171.0,5.67,67,2.49,0
3372472,Vila Franca do Campo,PT,1591216889,37.72,-25.43,17.0,93,7.7,75
2108502,Honiara,SB,1591216890,-9.43,159.95,24.0,100,0.75,40
3628473,San Cristobal,VE,1591216890,7.77,-72.22,33.0,52,4.6,40
3652764,Puerto Ayora,EC,1591216890,-0.74,-90.35,29.0,58,8.7,40
2537881,Safi,MA,1591216712,32.3,-9.24,20.98,76,2.16,0
4035715,Avarua,CK,1591216891,-21.21,-159.78,25.0,69,4.1,14
3129371,Arroyo de la Encomienda,ES,1591216891,41.61,-4.8,16.11,93,2.6,95
4020109,Atuona,PF,1591216891,-9.8,-139.03,27.21,75,6.82,4
3366880,Hermanus,ZA,1591216891,-34.42,19.23,13.89,88,6.47,82
478769,Urdoma,RU,1591216892,61.75,48.54,8.36,64,1.12,0
1279186,Aizawl,IN,1591216696,23.73,92.72,17.42,100,1.17,94
2961459,Skibbereen,IE,1591216892,51.55,-9.27,14.0,50,7.7,90
1633419,Padang,ID,1591216893,-0.95,100.35,25.5,83,1.14,100
2449893,Tessalit,ML,1591216893,20.2,1.01,36.89,11,4.96,27
1735106,George Town,MY,1591216893,5.41,100.34,27.0,94,1.0,20
223816,Djibouti,DJ,1591216893,11.5,42.5,32.0,62,1.5,1
2074865,Carnarvon,AU,1591216894,-24.87,113.63,21.88,42,4.12,0
3381538,Grand-Santi,GF,1591216894,4.25,-54.38,25.77,94,1.53,58
2094342,Kavieng,PG,1591216894,-2.57,150.8,28.23,75,4.81,99
4030556,Rikitea,PF,1591216894,-23.12,-134.97,24.28,80,8.3,100
5972291,Havre-St-Pierre,CA,1591216895,50.23,-63.6,5.0,93,6.2,90
5855927,Hilo,US,1591216895,19.73,-155.09,29.0,54,4.1,1
1282256,Hithadhoo,MV,1591216895,-0.6,73.08,29.02,65,3.12,89
1507926,Chesma,RU,1591216895,53.81,60.65,11.27,78,3.34,79
1688696,San Policarpo,PH,1591216896,12.18,125.51,26.79,73,0.63,99
6137462,Saint-Augustin,CA,1591216896,51.23,-58.65,8.56,60,9.37,5
3870243,Taltal,CL,1591216896,-25.4,-70.48,15.07,64,1.33,44
1106677,Bambous Virieux,MU,1591216896,-20.34,57.76,22.78,78,6.2,75
2398430,Mimongo,GA,1591216897,-1.62,11.61,21.62,93,1.25,100
2171099,Codrington,AU,1591216505,-38.27,141.97,4.8,90,2.24,1
3520994,Puerto Escondido,MX,1591216897,15.85,-97.07,29.0,79,4.6,75
2119283,Zyryanka,RU,1591216898,65.75,150.85,14.01,41,2.11,0
6185377,Yellowknife,CA,1591216898,62.46,-114.35,9.44,49,2.1,75
1788852,Xining,CN,1591216898,36.62,101.77,11.41,53,1.16,100
2035836,Manzhouli,CN,1591216898,49.6,117.43,11.76,64,1.96,95
2020744,Listvyanka,RU,1591216899,51.85,104.87,9.0,93,1.0,20
6170031,Tuktoyaktuk,CA,1591216899,69.45,-133.04,5.0,60,5.7,20
6165406,Thompson,CA,1591216899,55.74,-97.86,16.0,48,2.6,75
2126199,Cherskiy,RU,1591216900,68.75,161.3,8.05,59,2.3,100
3414079,Olafsvik,IS,1591216900,64.89,-23.71,8.61,84,2.11,61
3939168,Huarmey,PE,1591216900,-10.07,-78.15,21.26,71,5.88,28
2012349,Krasnyy Chikoy,RU,1591216900,50.36,108.75,5.9,80,1.38,0
1490256,Talnakh,RU,1591216901,69.49,88.4,7.0,75,8.0,9
4944903,Nantucket,US,1591216901,41.28,-70.1,17.22,87,6.7,1
1507390,Dikson,RU,1591216901,73.51,80.55,-0.41,98,6.64,99
1735106,George Town,MY,1591216902,5.41,100.34,27.0,94,1.0,20
2180815,Tuatapere,NZ,1591216902,-46.13,167.68,7.13,86,3.79,100
2084442,Vanimo,PG,1591216902,-2.67,141.3,25.76,84,2.13,100
1505579,Inta,RU,1591216903,66.03,60.17,8.24,61,2.22,86
5856516,‘Āhuimanu,US,1591216903,21.44,-157.84,30.0,66,4.6,75
2177069,Ballina,AU,1591216903,-28.87,153.57,13.0,62,5.7,75
1497210,Novoagansk,RU,1591216904,61.94,76.66,4.72,86,5.77,12
359792,Aswān,EG,1591216904,24.09,32.91,32.01,21,3.41,0
1267390,Kavaratti,IN,1591216904,10.57,72.64,29.37,76,7.41,100
2400547,Gamba,GA,1591216904,-2.65,10.0,25.03,88,3.4,100
1819729,Hong Kong,HK,1591216851,22.29,114.16,28.89,74,3.58,91
2123814,Leningradskiy,RU,1591216905,69.38,178.42,5.59,68,2.57,37
2191911,Dargaville,NZ,1591216905,-35.93,173.88,15.08,88,3.95,9
1062663,Mahajanga,MG,1591216764,-15.72,46.32,25.0,53,4.1,20
1651810,Airai,TL,1591216905,-8.93,125.41,12.67,100,2.04,100
2022572,Khatanga,RU,1591216906,71.97,102.5,9.33,51,4.09,11
3443061,Chui,UY,1591216906,-33.7,-53.46,10.86,77,1.96,17
5955902,Fort Nelson,CA,1591216906,58.81,-122.7,17.0,26,2.6,75
5882953,Aklavik,CA,1591216906,68.22,-135.01,11.0,40,3.6,5
5920381,Chase,CA,1591216906,50.82,-119.69,19.44,63,1.34,72
5104759,Somerset,US,1591216781,40.57,-74.55,26.67,65,4.1,40
2112802,Hasaki,JP,1591216907,35.73,140.83,20.0,94,2.6,75
5536630,Cedar City,US,1591216907,37.68,-113.06,29.0,14,7.2,1
7601762,Bairiki Village,KI,1591216907,1.33,172.98,27.0,88,1.5,40
893485,Chiredzi,ZW,1591216908,-21.05,31.67,14.9,73,1.04,0
2352110,Okitipupa,NG,1591216908,6.5,4.78,24.87,90,1.4,78
3576994,Cockburn Town,TC,1591216908,21.46,-71.14,27.85,78,6.92,0
3352263,Warmbad,NA,1591216908,-28.45,18.73,19.34,26,3.88,100
3024035,Concarneau,FR,1591216909,47.88,-3.92,14.0,93,5.1,100
935214,Saint-Pierre,RE,1591216909,-21.34,55.48,20.0,64,5.7,20
933995,Souillac,MU,1591216909,-20.52,57.52,22.0,78,6.2,75
479471,Ugra,RU,1591216910,54.78,34.33,8.91,98,1.15,99
522410,Nevel',RU,1591216910,56.02,29.93,7.81,97,2.1,22
3146487,Raudeberg,NO,1591216910,61.99,5.14,9.44,93,10.23,100
935215,Saint-Philippe,RE,1591216910,-21.36,55.77,22.0,64,5.7,20
1794971,Shitanjing,CN,1591216911,39.23,106.34,21.67,9,2.24,0
3471451,Arraial do Cabo,BR,1591216911,-22.97,-42.03,23.0,83,1.5,0
1264409,Mahbūbābād,IN,1591216911,17.62,80.02,29.56,65,4.05,100
3135728,Straumen,NO,1591216911,63.87,11.3,12.0,87,1.0,75
3029212,Arrondissement de Cahors,FR,1591216912,44.42,1.33,19.0,72,4.1,100
6690296,Saint-Joseph,RE,1591216912,-21.37,55.62,20.0,64,5.7,20
3125287,Cervo,ES,1591216912,43.67,-7.41,12.78,89,2.24,2
2512340,Pozoblanco,ES,1591216912,38.38,-4.85,25.0,44,6.2,20
2189343,Kaeo,NZ,1591216913,-35.1,173.78,16.11,3,3.13,3
